År,Årsak,Antall (1000)
2023,Dødfisk,60467
2023,Utkast slakteri,3317
2023,Rømming,1
2023,Annet,5192
2022,Dødfisk,49827
2022,Utkast slakteri,2519
2022,Rømming,56
2022,Annet,8301
2021,Dødfisk,49101
2021,Utkast slakteri,3597
2021,Rømming,61
2021,Annet,7703
2020,Dødfisk,50507
2020,Utkast slakteri,2974
2020,Rømming,43
2020,Annet,6471
2019,Dødfisk,55045
2019,Utkast slakteri,3042
2019,Rømming,94
2019,Annet,2959
2018,Dødfisk,47685
2018,Utkast slakteri,2546
2018,Rømming,139
2018,Annet,2477
2017,Dødfisk,49480
2017,Utkast slakteri,3128
2017,Rømming,16
2017,Annet,4949
2016,Dødfisk,46184
2016,Utkast slakteri,3141
2016,Rømming,82
2016,Annet,6554
2015,Dødfisk,43533
2015,Utkast slakteri,3374
2015,Rømming,163
2015,Annet,4681
2014,Dødfisk,39277
2014,Utkast slakteri,2302
2014,Rømming,271
2014,Annet,1712
2013,Dødfisk,30119
2013,Utkast slakteri,2035
2013,Rømming,198
2013,Annet,8231
2012,Dødfisk,29664
2012,Utkast slakteri,1816
2012,Rømming,38
2012,Annet,6462
2011,Dødfisk,37312
2011,Utkast slakteri,1868
2011,Rømming,364
2011,Annet,11426
2010,Dødfisk,36576
2010,Utkast slakteri,1783
2010,Rømming,241
2010,Annet,8250
2009,Dødfisk,36894
2009,Utkast slakteri,2111
2009,Rømming,199
2009,Annet,6613
2008,Dødfisk,33092
2008,Utkast slakteri,3217
2008,Rømming,72
2008,Annet,7595
2007,Dødfisk,32849
2007,Utkast slakteri,1775
2007,Rømming,290
2007,Annet,3573
2006,Dødfisk,26381
2006,Utkast slakteri,1420
2006,Rømming,920
2006,Annet,2323
2005,Dødfisk,19557
2005,Utkast slakteri,1686
2005,Rømming,715
2005,Annet,3135
2004,Dødfisk,17768
2004,Utkast slakteri,1997
2004,Rømming,553
2004,Annet,5394
2003,Dødfisk,22353
2003,Utkast slakteri,2750
2003,Rømming,407
2003,Annet,5636
2002,Dødfisk,21279
2002,Utkast slakteri,1838
2002,Rømming,477
2002,Annet,5344
2001,Dødfisk,19341
2001,Utkast slakteri,1940
2001,Rømming,272
2001,Annet,504
2000,Dødfisk,15057
2000,Utkast slakteri,1133
2000,Rømming,276
2000,Annet,704
1999,Dødfisk,16822
1999,Utkast slakteri,1661
1999,Rømming,348
1999,Annet,953
1998,Dødfisk,15951
1998,Utkast slakteri,3600
1998,Rømming,553
1998,Annet,5456
